Archive:  /tmp/PRO4X4_Rig_Builder_Alpha26_WF5_QA_Push_19_pre.zip
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-acceptance-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-visual-safety-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-visual-safety-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/npm-check-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-promotion-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-latest-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/npm-check-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-acceptance-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/render-resolver-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-visual-safety-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/render-resolver-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/npm-check-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-acceptance-targeted.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/npm-test-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/test-gate.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-promotion-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/static-verification.txt   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-acceptance-targeted.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/npm-test-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/npm-test-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/test-gate.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-acceptance-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/wf5-acceptance-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push18/zip-integrity-precheck.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-latest-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/npm-check.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-acceptance.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/npm-test-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/npm-check-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/static-verification.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/render-resolver.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-visual-safety.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-promotion.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-promotion.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/npm-test.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/npm-test.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-acceptance-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-visual-safety-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/npm-check-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-latest.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-promotion-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-latest-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/npm-check.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-acceptance-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-acceptance.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-visual-safety-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-visual-safety.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/render-resolver.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/npm-test-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/test-gate.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-promotion-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/static-verification.txt   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-latest.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/diff-vs-push11.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/test-gate.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-acceptance-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push12/wf5-acceptance-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/diff-vs-push15.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-latest-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/zip-integrity-precheck.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/npm-test-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/npm-check-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/static-verification.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-latest-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-promotion-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-latest-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-promotion-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-visual-safety-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-acceptance-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-visual-safety-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-visual-safety-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/npm-check-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-promotion-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-latest-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-acceptance-before.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/render-resolver-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-visual-safety-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/render-resolver-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-acceptance-targeted.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/npm-test-final.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/test-gate.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-promotion-final.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/static-verification.txt   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/wf5-acceptance-targeted.log   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/npm-test-before.exit   OK
    testing: pro4x4-rig-builder-alpha26-wf5-push19/qa-evidence/wf5-push16/npm-test-before.log   OK
